,,left_side,right_side,similarity
31,155,"Holiday Inn Seattle Downtown 211 Dexter Ave N, Seattle, WA 98109_0","Holiday Inn Seattle Downtown 211 Dexter Ave N, Seattle, WA 98109_0",1
31,156,"Holiday Inn Seattle Downtown 211 Dexter Ave N, Seattle, WA 98109_0","Oakwood Seattle South Lake Union 717 Dexter Ave N, Seattle, WA 98109_0",0.230189874
31,157,"Holiday Inn Seattle Downtown 211 Dexter Ave N, Seattle, WA 98109_0","Holiday Inn Express & Suites Seattle-City Center 226 Aurora Ave N, Seattle, WA 98109_0",0.140234043
31,158,"Holiday Inn Seattle Downtown 211 Dexter Ave N, Seattle, WA 98109_0","Hilton Garden Inn Seattle Downtown 1821 Boren Ave, Seattle WA 98101 USA_A",0.109785879
31,159,"Holiday Inn Seattle Downtown 211 Dexter Ave N, Seattle, WA 98109_0","Residence Inn by Marriott Seattle Downtown/Lake Union 800 Fairview Ave N, Seattle, WA 98109_0",0.105779831
32,160,"Executive Hotel Pacific 400 Spring St, Seattle, WA 98104_0","Executive Hotel Pacific 400 Spring St, Seattle, WA 98104_0",1
32,161,"Executive Hotel Pacific 400 Spring St, Seattle, WA 98104_0","The Baroness Hotel 1005 Spring St, Seattle, WA 98104_0",0.285880552
32,162,"Executive Hotel Pacific 400 Spring St, Seattle, WA 98104_0","The Inn at Virginia Mason 1006 Spring St, Seattle, WA 98104_0",0.239809572
32,163,"Executive Hotel Pacific 400 Spring St, Seattle, WA 98104_0","Hotel Sorrento 900 Madison St, Seattle, WA 98104_0",0.146639162
32,164,"Executive Hotel Pacific 400 Spring St, Seattle, WA 98104_0","Renaissance Seattle Hotel 515 Madison St, Seattle, WA 98104_0",0.141929998
33,165,"Hotel Andra 2000 4th Ave, Seattle, WA 98121_0","Hotel Andra 2000 4th Ave, Seattle, WA 98121_0",1
33,166,"Hotel Andra 2000 4th Ave, Seattle, WA 98121_0","Vermont Inn 2721 4th Ave, Seattle, WA 98121_0",0.267788729
33,167,"Hotel Andra 2000 4th Ave, Seattle, WA 98121_0","Stay Alfred on 4th Avenue 2201 4th Ave, Seattle, WA 98121_0",0.226253186
