uniqueid,suffix,name,address,city,state,partner
1671,A,Bridge at Asher,10505 South IH-35,Austin,TX,AAHC - CDT Bridge at Asher LLC
1672,A,Bridge at Sterling Springs,2809 W. William Cannon Dr,Austin,TX,Austin Affordable Housing Corporation
1673,A,Bridge at Sterling Springs,2809 W. William Cannon Drive,Austin,TX,Housing Authority of the City of Austin
1674,A,Bridge at Sterling Village,10401 N Lamar Road,Austin,TX,Housing Authority of the City of Austin
1675,A,Bridge at Terracina,8100 N. Mopac Expy,Austin,TX,
1676,A,Bridge at Volente,11908 Anderson Mill Road,Austin,TX,Austin Affordable Housing Corporation
1677,A,Bridges at Center Ridge,701 Center Ridge Drive,Austin,TX,Housing Authority of the City of Austin
1678,A,Bridges at Tech Ridge,1280 Center Lake Drive,Austin,TX,Housing Authority of the City of Austin
1679,A,Capital Studios,309 E. 11th St.,Austin,TX,Foundation Communities
1680,A,Cornerstone,1322 Lamar Sq.,Austin,TX,Mary Lee Foundation
1681,A,Creekview Apartments,Old Manor Rd and Crainway Dr,Austin,TX,
1682,A,East 2nd & Santa Rita Infill,"1800, 1802, & 1804 East 2nd St; 2325 Santa Rita St",Austin,TX,Guadalupe Neighborhood Development Corporation
1683,A,East 2nd & Santa Rita Infill,"1800, 1802, & 1804 East 2nd St; 2325 Santa Rita St",Austin,TX,Guadalupe Neighborhood Development Corporation
1684,A,Eleven East,1000 East 11th Street,Austin,TX,
1685,A,Flagship,1312 Lamar Square,Austin,TX,Mary Lee Foundation
1686,A,Garden Terrace,,Austin,TX,Foundation Communities
1687,A,Goodwin Avenue Project,Goodwin Avenue & Webberville Road,Austin,TX,Guadalupe Neighborhood Development Corporation
1688,A,Goodwin Avenue Project,Goodwin Avenue & Webberville Road,Austin,TX,Guadalupe Neighborhood Development Corporation
1689,A,Guadalupe Infill,Various,Austin,TX,Guadalupe Neighborhood Development Corporation
1690,A,Habitat Sendero Hills,Sandshof Drive,Austin,TX,Austin Habitat for Humanity
1691,A,Hearthside,North IH 35,Austin,TX,Foundation Communities
1692,A,Juniper Olive Hist. Dist.,Various,Austin,TX,Austin Revit. Authority
1693,A,La Vista de Guadalupe,813 E 8th Street,Austin,TX,Guadalupe Neighborhood Development Corporation
1694,A,"M Station Housing, L.P.",2906 E. Martin Luther King Jr. Blvd.,Austin,TX,Foundation Communities
1695,A,Maple Ave,1807 Maple Ave,Austin,TX,Chestnut NRC
1696,A,Meador Project,,Austin,TX,Neighborhood Housing Services of Austin
1697,A,Meador Project,7308 - 7314 Meador Avenue,Austin,TX,Neighborhood Housing Services of Austin
1698,A,Northwest Hills,3600 Greystone Drive,Austin,TX,"Bridge at Terracina, LLC"
1699,A,Park at Summers Grove,2900 Centruy Park Boulevard,Austin,TX,Housing Authority of the City of Austin
1700,A,Pathways at Gaston Place,1941 Gaston Place,Austin,TX,
1701,A,Pathways at Georgian Manor,110 Bolles Circle,Austin,TX,"HACA Pathways I, LP"
1702,A,Pathways at Manchaca Village,3628 Manchaca Road,Austin,TX,"HACA Pathways I, LP"
1703,A,Pathways at North Loop,2300 W North Loop,Austin,TX,"HACA Pathways I, LP"
1704,A,Pathways at Northgate,9120 Northgate Blvd,Austin,TX,"HACA Pathways I, LP"
1705,A,Pathways at Shadowbend Ridge,5328 Shadow Bend,Austin,TX,"HACA Pathways I, LP"
1706,A,Preserve at Wells Branch,1773 Wells Branch Parkway,Austin,TX,Preserve at Wells Branch LLC
1707,A,RHDA 7-Unit Rental Infill Project,"907 Spence, 2320 Santa Rita, 303 San Saba, 1009 East 10th, 1002 Wheeless, 809 San Marcos",Austin,TX,Guadalupe Neighborhood Development Corporation
1708,A,Rosemont at Williamson Creek,4509 E St Elmo Rd,Austin,TX,Bridge at Northwest Hills LLC
1709,A,Runnymede Apartments,1101 Rutland Drive,Austin,TX,San Antonio Alternative Housing
1710,A,Sam Huston Estates,Various,Austin,TX,Austin Revit. Authority
1711,A,SIERRA VISTA,4320 S CONGRESS AVE,AUSTIN,TX,"Foundation Communities, Inc."
1712,A,Skyline Terrace,1212 W. Ben White Blvd.,Austin,TX,Foundation Communities
1713,A,"Skyline Terrace Housing, LP",1212 West Ben White Boulevard,Austin,TX,Foundation Communities
1714,A,Spring Terrace,7101 I-35 N,Austin,TX,Foundation Communities
1715,A,Sweetwater at Wells Branch,2323 Wells Branch Parkway,Austin,TX,Housing Authority of the City of Austin
1716,A,The Place at Terracina,8100 N Mopac Expy,Austin,TX,CP/IPERS Charlotte LLC
1717,A,The Point at Ben White,7000 East Ben Whilte Boulevard,Austin,TX,Housing Authority of the City of Austin
1718,A,Turner Project,4607 Turner Lane,Austin,TX,Neighborhood Housing Services of Austin
1719,A,Turner Project,4607 Turner Lane,Austin,TX,Neighborhood Housing Services of Austin
1720,A,Villa Elena,1318 Lamar Square,Austin,TX,Mary Lee Foundation
1721,A,Vista de Guadalupe,811 East 8th Street,Austin,TX,Guadalupe Neighborhood Development Corporation
1722,A,Walnut Creek Apartments,6409 Springdale Road,Austin,TX,Levy Affiliated
1723,A,Webber Village,2915 Webberville Road,Austin,TX,Frameworks Community Development Corporation
1724,A,Wildflower Terrace - Conversion,3801 Berkman Dr,Austin,TX,"Austin DMA Housing, LLC"
1725,A,Willows,1330 Lamar Square,Austin,TX,Mary Lee Foundation
1726,A,Lachen Tara Limited Partnership,240 Ocean Oaks Lane,Avila Beach,CA,People's Self Help Housing
1727,A,Avon-on-the-Green,41 Prospect St,Avon,NY,Landsman Development Corporation
1728,A,Willow Ridge Apartments,3548 Rockbridge Rd,Avondale Estates,GA,Rockdale LLC
1729,A,COURTES DE EMERALD APARTMENTS,1500 S WASHINGTON ST,BAINBRIDGE,GA,"Parntership Housing Affordable to Society Everwhere, Inc. (PHASE )"
1730,A,Serenity Court,3900 Pleasant Beach Road,Bainbridge Island,WA,Kitsap County Consolidated Housing Authority
1731,A,Communidad 16 de Septiembre 1965,,Bakersfield,CA,"National Farm Workers Service Center, Inc."
