name,address
GSH Housing Programs,"98 managed or owned scattered-site affordable rental housing units in muliple locations along Richmond Hwy, Alexandria, VA"
GSH Housing Programs,"5 owned scattered-site affordable rental housing units in muliple locations along Richmond Hwy, Alexandria, VA"
Guardian Angels,208 4th Street E
Guardian Angels Apartments & Townhomes,208 Fourth Street East
Gunbarrel Center,5340 Gunbarrel Center Court
Haddies Shell Station,7711 N. El Capitan Way
Hallmark Apartment Homes,840 S Magnolia Avenue
Hamilton Crossing,31731 Waller Tomball Road
Hampton Terrace,300 East Webster St
HANO Rental Scattered Site Development ,1400-40 General Ogden St. (20 units) ; 1000 Melpomene St. (6 units); 8951 Birch St. (4 units); 8729 Plum St (2 units); 1711-35 Cambronne St (12 units); 3249 Tchoupitoulas (32 units); 1417-19 General Ogden St. (2 units); 1433-39 General Ogden St (2 units); 1738 – 40 General Ogden St (2 units) 
Harlem Gardens,1700 Edmondson Avenue
Harlow Apartments - DEBT,10620 W Alexander Rd
Harlow Apartments - EQUITY,10620 W Alexander Rd
Hart,2402 Hart
Hart,2405 Hart
Hartford Villa,445 Hartford Avenue
Hartzell Place Apartments,1627-1659 Hartzell Road
Hatch Apartments,581 Hatch
Havenpark (Fund IV) CF III Addition II - Colonial Estates & Bel Clare,"1501 E Bismarck Expressway,"
Havenpark (Fund IV) CF III Addition II - Colonial Estates & Bel Clare,3210 Bel Clare Drive
Havenpark (Fund IV) CF III Additions-I,1 Shannon Drive
HavenPark (Fund IV) CF III-3 Properties,Multiple (3 Properties)
Havenpark CF III - Addition IV,1001 Gibraltor Avenue
Havenpark CF III - Addition IV,2500 5th Avenue South
Havenpark CF III - Addition IV,6610 Lear Nagle Road
Havenpark CF III - Addition IV,825 1st Avenue East
Havenpark CF III - Addition IV,4359 Dogwood Blvd
Havenpark CF III - Addition V (QCA),5975 NE Berwick Dr
Havenpark CF III - Addition V (QCA),1440 W Plum St
